Date,Publisher,Title,Link,
5-Mar-21,CNN,Fake tax preparer gets six Covid-19 bailout loans worth more than $1 million - CNN,https://news.google.com/__i/rss/rd/articles/CBMiVGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMS8wMy8wNS9idXNpbmVzcy9wb2x6aW4tdGF4LXByZXBhcmVyLXBwcC1sb2FuLWludnMvaW5kZXguaHRtbNIBWGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjEvMDMvMDUvYnVzaW5lc3MvcG9semluLXRheC1wcmVwYXJlci1wcHAtbG9hbi1pbnZzL2luZGV4Lmh0bWw?oc=5,
6-Mar-21,DW (English),Coronavirus: German vaccine shortage 'over soon' - DW (English),https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmR3LmNvbS9lbi9jb3JvbmF2aXJ1cy1nZXJtYW4tdmFjY2luZS1zaG9ydGFnZS1vdmVyLXNvb24vYS01Njc5MzcyM9IBTmh0dHBzOi8vYW1wLmR3LmNvbS9lbi9jb3JvbmF2aXJ1cy1nZXJtYW4tdmFjY2luZS1zaG9ydGFnZS1vdmVyLXNvb24vYS01Njc5MzcyMw?oc=5,
5-Mar-21,Boston.com,"The short-term, middle-term, and long-term future of the coronavirus - Boston.com",https://news.google.com/__i/rss/rd/articles/CBMiRWh0dHBzOi8vd3d3LmJvc3Rvbi5jb20vbmV3cy9jb3JvbmF2aXJ1cy8yMDIxLzAzLzA1L2Nvcm9uYXZpcnVzLWZ1dHVyZdIBSWh0dHBzOi8vd3d3LmJvc3Rvbi5jb20vbmV3cy9jb3JvbmF2aXJ1cy8yMDIxLzAzLzA1L2Nvcm9uYXZpcnVzLWZ1dHVyZS9hbXA?oc=5,
6-Mar-21,Chicago Tribune,COVID-19 in Illinois updates: Here’s what’s happening this weekend - Chicago Tribune,https://news.google.com/__i/rss/rd/articles/CBMiiAFodHRwczovL3d3dy5jaGljYWdvdHJpYnVuZS5jb20vY29yb25hdmlydXMvY3QtYXVkLWNvdmlkLTE5LXBhbmRlbWljLWNoaWNhZ28taWxsaW5vaXMtbmV3cy0yMDIxMDMwNi1sZnNyNGNhMmluYnUzaDR2Ynpoc2VpZDQ3bS1zdG9yeS5odG1s0gGXAWh0dHBzOi8vd3d3LmNoaWNhZ290cmlidW5lLmNvbS9jb3JvbmF2aXJ1cy9jdC1hdWQtY292aWQtMTktcGFuZGVtaWMtY2hpY2Fnby1pbGxpbm9pcy1uZXdzLTIwMjEwMzA2LWxmc3I0Y2EyaW5idTNoNHZiemhzZWlkNDdtLXN0b3J5Lmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5,
6-Mar-21,Minnesota Public Radio News,"Latest on COVID-19 in MN: A year after 1st case, hope percolates - Minnesota Public Radio News",https://news.google.com/__i/rss/rd/articles/CBMiQGh0dHBzOi8vd3d3Lm1wcm5ld3Mub3JnL3N0b3J5LzIwMjEvMDMvMDYvbGF0ZXN0LW9uLWNvdmlkMTktaW4tbW7SAURodHRwczovL3d3dy5tcHJuZXdzLm9yZy9hbXAvc3RvcnkvMjAyMS8wMy8wNi9sYXRlc3Qtb24tY292aWQxOS1pbi1tbg?oc=5,
6-Mar-21,CBS Sports,MVC Tournament game canceled minutes before tipoff due to COVID-19 positive test in Northern Iowa's program - CBS Sports,https://news.google.com/__i/rss/rd/articles/CBMinQFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL2NvbGxlZ2UtYmFza2V0YmFsbC9uZXdzL212Yy10b3VybmFtZW50LWdhbWUtY2FuY2VsZWQtbWludXRlcy1iZWZvcmUtdGlwb2ZmLWR1ZS10by1jb3ZpZC0xOS1wb3NpdGl2ZS10ZXN0LWluLW5vcnRoZXJuLWlvd2FzLXByb2dyYW0v0gGhAWh0dHBzOi8vd3d3LmNic3Nwb3J0cy5jb20vY29sbGVnZS1iYXNrZXRiYWxsL25ld3MvbXZjLXRvdXJuYW1lbnQtZ2FtZS1jYW5jZWxlZC1taW51dGVzLWJlZm9yZS10aXBvZmYtZHVlLXRvLWNvdmlkLTE5LXBvc2l0aXZlLXRlc3QtaW4tbm9ydGhlcm4taW93YXMtcHJvZ3JhbS9hbXAv?oc=5,
6-Mar-21,Associated Press,Tibetan spiritual leader Dalai Lama gets vaccine shot - Associated Press,https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2RhbGFpLWxhbWEtaW5kaWEtY29yb25hdmlydXMtcGFuZGVtaWMtdGliZXQtYTczOTgyZTdmZGFmZTU4NTA3YjRhMzE0NWIwNjliMjbSAQA?oc=5,
5-Mar-21,Vox.com,"The “best” vaccine? Don’t be misled in comparing efficacy of Johnson and Johnson, Moderna, and Pfizer/BioNTec… - Vox.com",https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LnZveC5jb20vMjIzMTE2MjUvY292aWQtMTktdmFjY2luZS1lZmZpY2FjeS1qb2huc29uLW1vZGVybmEtcGZpemVy0gFaaHR0cHM6Ly93d3cudm94LmNvbS9wbGF0Zm9ybS9hbXAvMjIzMTE2MjUvY292aWQtMTktdmFjY2luZS1lZmZpY2FjeS1qb2huc29uLW1vZGVybmEtcGZpemVy?oc=5,
6-Mar-21,countynewscenter.com,County Surpasses 1 Million COVID-19 Vaccinations - countynewscenter.com,https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vd3d3LmNvdW50eW5ld3NjZW50ZXIuY29tL2NvdW50eS1zdXJwYXNzZXMtMS1taWxsaW9uLWNvdmlkLTE5LXZhY2NpbmF0aW9ucy_SAVZodHRwczovL3d3dy5jb3VudHluZXdzY2VudGVyLmNvbS9jb3VudHktc3VycGFzc2VzLTEtbWlsbGlvbi1jb3ZpZC0xOS12YWNjaW5hdGlvbnMvYW1wLw?oc=5,
6-Mar-21,FRANCE 24 English,Brazil's daily Covid-19 deaths reach record highs amid brutal second wave - FRANCE 24 English,https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lbi9hbWVyaWNhcy8yMDIxMDMwNi1icmF6aWwtcy1kYWlseS1jb3ZpZC0xOS1kZWF0aHMtcmVhY2gtcmVjb3JkLWhpZ2hzLWFtaWQtYnJ1dGFsLXNlY29uZC13YXZl0gF3aHR0cHM6Ly9hbXAuZnJhbmNlMjQuY29tL2VuL2FtZXJpY2FzLzIwMjEwMzA2LWJyYXppbC1zLWRhaWx5LWNvdmlkLTE5LWRlYXRocy1yZWFjaC1yZWNvcmQtaGlnaHMtYW1pZC1icnV0YWwtc2Vjb25kLXdhdmU?oc=5,
6-Mar-21,Financial Times,US approves new T-cell test for coronavirus - Financial Times,https://news.google.com/__i/rss/rd/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzNhM2Q4ZmNjLTI4ZGItNDE5MC04NzQwLTJjZTk2MmRkMzYxYtIBAA?oc=5,
6-Mar-21,The Wall Street Journal,Covid-19 Live Updates: Officials Urge Caution as States Lift Restrictions - The Wall Street Journal,https://news.google.com/__i/rss/rd/articles/CBMiMWh0dHBzOi8vd3d3Lndzai5jb20vbGl2ZWNvdmVyYWdlL2NvdmlkLTIwMjEtMDMtMDXSATVodHRwczovL3d3dy53c2ouY29tL2FtcC9saXZlY292ZXJhZ2UvY292aWQtMjAyMS0wMy0wNQ?oc=5,
6-Mar-21,ny.gov,Governor Cuomo Updates New Yorkers on State's Progress During COVID-19 Pandemic - ny.gov,https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3LmdvdmVybm9yLm55Lmdvdi9uZXdzL2dvdmVybm9yLWN1b21vLXVwZGF0ZXMtbmV3LXlvcmtlcnMtc3RhdGVzLXByb2dyZXNzLWR1cmluZy1jb3ZpZC0xOS1wYW5kZW1pYy0xMzXSAQA?oc=5,
5-Mar-21,The Washington Post,"A year later, Washington region’s first coronavirus patient recounts trauma of her role in history - The Washington Post",https://news.google.com/__i/rss/rd/articles/CBMiiwFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbG9jYWwvY29yb25hdmlydXMtZGMtbWFyeWxhbmQtdmlyZ2luaWEtZmlyc3QtY2FzZS8yMDIxLzAzLzA1LzIyYWUwNmE0LTdjNGQtMTFlYi04NWNkLTliN2ZhOTBjODg3M19zdG9yeS5odG1s0gGaAWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9sb2NhbC9jb3JvbmF2aXJ1cy1kYy1tYXJ5bGFuZC12aXJnaW5pYS1maXJzdC1jYXNlLzIwMjEvMDMvMDUvMjJhZTA2YTQtN2M0ZC0xMWViLTg1Y2QtOWI3ZmE5MGM4ODczX3N0b3J5Lmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5,
5-Mar-21,Business Insider,"Intranasal COVID-19 vaccine spray could stem spread, researchers say - Business Insider",https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaW50cmFuYXNhbC1jb3ZpZC0xOS12YWNjaW5lLXNwcmF5LWNvdWxkLXN0ZW0tc3ByZWFkLTIwMjEtM9IBXmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaW50cmFuYXNhbC1jb3ZpZC0xOS12YWNjaW5lLXNwcmF5LWNvdWxkLXN0ZW0tc3ByZWFkLTIwMjEtMz9hbXA?oc=5,
6-Mar-21,Press Herald,"Maine CDC reports 185 cases of COVID-19, no new deaths - Press Herald",https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LnByZXNzaGVyYWxkLmNvbS8yMDIxLzAzLzA2L21haW5lLWNkYy1yZXBvcnRzLTE4NS1jYXNlcy1vZi1jb3ZpZC0xOS1uby1uZXctZGVhdGhzL9IBAA?oc=5,
5-Mar-21,The New York Times,Coronavirus Vaccine and BMI? Yes You Should Get Vaccinated. - The New York Times,https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMDMvMDUvc3R5bGUvc2VsZi1jYXJlL2JtaS1jb3ZpZC12YWNjaW5lLmh0bWzSAU1odHRwczovL3d3dy5ueXRpbWVzLmNvbS8yMDIxLzAzLzA1L3N0eWxlL3NlbGYtY2FyZS9ibWktY292aWQtdmFjY2luZS5hbXAuaHRtbA?oc=5,
5-Mar-21,Yahoo Finance,The $1.9 trillion COVID-19 stimulus plan won't 'overheat' economy: Biden economic advisor - Yahoo Finance,https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL2ZpbmFuY2UueWFob28uY29tL25ld3MvdGhlLTE5LXRyaWxsaW9uLWNvdmlkLTE5LXN0aW11bHVzLXBsYW4td29udC1vdmVyaGVhdC1lY29ub215LWJpZGVuLWVjb25vbWljLWFkdmlzb3ItMTkwMTIxNTgxLmh0bWzSAYkBaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvdGhlLTE5LXRyaWxsaW9uLWNvdmlkLTE5LXN0aW11bHVzLXBsYW4td29udC1vdmVyaGVhdC1lY29ub215LWJpZGVuLWVjb25vbWljLWFkdmlzb3ItMTkwMTIxNTgxLmh0bWw?oc=5,
5-Mar-21,WISN Milwaukee,"Milwaukee bar owner thought he was following COVID-19 safety rules fined $3,200 by city - WISN Milwaukee",https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy53aXNuLmNvbS9hcnRpY2xlL21pbHdhdWtlZS1iYXItb3duZXItdGhvdWdodC1oZS13YXMtZm9sbG93aW5nLWNvdmlkLTE5LXNhZmV0eS1ydWxlcy1maW5lZC1kb2xsYXIzMzAwLWJ5LWNpdHkvMzU3NDY1MjnSAYUBaHR0cHM6Ly93d3cud2lzbi5jb20vYW1wL2FydGljbGUvbWlsd2F1a2VlLWJhci1vd25lci10aG91Z2h0LWhlLXdhcy1mb2xsb3dpbmctY292aWQtMTktc2FmZXR5LXJ1bGVzLWZpbmVkLWRvbGxhcjMzMDAtYnktY2l0eS8zNTc0NjUyOQ?oc=5,
6-Mar-21,Chicago Tribune,"COVID-19 vaccines given to hundreds of University of Illinois employees who weren’t yet eligible, including coaches and instructors - Chicago Tribune",https://news.google.com/__i/rss/rd/articles/CBMiggFodHRwczovL3d3dy5jaGljYWdvdHJpYnVuZS5jb20vY29yb25hdmlydXMvY3QtY292aWQtdmFjY2luZXMtdW5pdmVyc2l0eS1vZi1pbGxpbm9pcy0yMDIxMDMwNi1oN2V5aml2ZW5yZWV4ZXYyZnl0c2RtbHBhNC1zdG9yeS5odG1s0gGRAWh0dHBzOi8vd3d3LmNoaWNhZ290cmlidW5lLmNvbS9jb3JvbmF2aXJ1cy9jdC1jb3ZpZC12YWNjaW5lcy11bml2ZXJzaXR5LW9mLWlsbGlub2lzLTIwMjEwMzA2LWg3ZXlqaXZlbnJlZXhldjJmeXRzZG1scGE0LXN0b3J5Lmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5,
5-Mar-21,Scientific American,Public Health Coronavirus News Roundup: February 27–March 5 - Scientific American,https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vd3d3LnNjaWVudGlmaWNhbWVyaWNhbi5jb20vYXJ0aWNsZS9jb3JvbmF2aXJ1cy1uZXdzLXJvdW5kdXAtZmVicnVhcnktMjctbWFyY2gtNS_SAQA?oc=5,
6-Mar-21,The Mercury News,COVID: A user’s guide to the coronavirus variants emerging in California and beyond - The Mercury News,https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDIxLzAzLzA2L2NvdmlkLWEtdXNlcnMtZ3VpZGUtdG8tdGhlLWNvcm9uYXZpcnVzLXZhcmlhbnRzLWVtZXJnaW5nLWluLWNhbGlmb3JuaWEtYW5kLWJleW9uZC_SAX1odHRwczovL3d3dy5tZXJjdXJ5bmV3cy5jb20vMjAyMS8wMy8wNi9jb3ZpZC1hLXVzZXJzLWd1aWRlLXRvLXRoZS1jb3JvbmF2aXJ1cy12YXJpYW50cy1lbWVyZ2luZy1pbi1jYWxpZm9ybmlhLWFuZC1iZXlvbmQvYW1wLw?oc=5,
6-Mar-21,USA TODAY,Tired of following COVID-19 safety protocols? You have pandemic fatigue. Here's what to do. - USA TODAY,https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3RvcnkvbGlmZS9oZWFsdGgtd2VsbG5lc3MvMjAyMS8wMy8wNi9jb3ZpZC0xOS1wYW5kZW1pYy1mYXRpZ3VlLWlnbm9yaW5nLXNhZmV0eS1tZWFzdXJlcy13aGF0LWRvLzQ1Nzk3NDcwMDEv0gEnaHR0cHM6Ly9hbXAudXNhdG9kYXkuY29tL2FtcC80NTc5NzQ3MDAx?oc=5,
5-Mar-21,WOODTV.com,Health dept. tracking ‘substantial’ COVID-19 outbreak at East Grand Rapids HS - WOODTV.com,https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3Lndvb2R0di5jb20vbmV3cy9rZW50LWNvdW50eS9jb3ZpZC0xOS1vdXRicmVhay1pbmZlY3RzLTE2LWF0LWVhc3QtZ3JhbmQtcmFwaWRzLWhzL9IBYWh0dHBzOi8vd3d3Lndvb2R0di5jb20vbmV3cy9rZW50LWNvdW50eS9jb3ZpZC0xOS1vdXRicmVhay1pbmZlY3RzLTE2LWF0LWVhc3QtZ3JhbmQtcmFwaWRzLWhzL2FtcC8?oc=5,
6-Mar-21,KSAT San Antonio,"Coronavirus update San Antonio, March 5: Leaders report 287 new COVID-19 cases, 3 deaths - KSAT San Antonio",https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy5rc2F0LmNvbS9uZXdzL2xvY2FsLzIwMjEvMDMvMDYvY29yb25hdmlydXMtdXBkYXRlLXNhbi1hbnRvbmlvLW1hcmNoLTUtbGVhZGVycy1yZXBvcnQtMjg3LW5ldy1jb3ZpZC0xOS1jYXNlcy0zLWRlYXRocy_SAZABaHR0cHM6Ly93d3cua3NhdC5jb20vbmV3cy9sb2NhbC8yMDIxLzAzLzA2L2Nvcm9uYXZpcnVzLXVwZGF0ZS1zYW4tYW50b25pby1tYXJjaC01LWxlYWRlcnMtcmVwb3J0LTI4Ny1uZXctY292aWQtMTktY2FzZXMtMy1kZWF0aHMvP291dHB1dFR5cGU9YW1w?oc=5,
4-Mar-21,The Washington Post,"‘Masks required’ signs are coming down after Texas, Mississippi lift coronavirus restrictions - The Washington Post",https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9oZWFsdGgvMjAyMS8wMy8wMy90ZXhhcy1taXNzaXNzaXBwaS1jb3ZpZC1yZXN0cmljdGlvbnMtbWFza3Mv0gFraHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL2hlYWx0aC8yMDIxLzAzLzAzL3RleGFzLW1pc3Npc3NpcHBpLWNvdmlkLXJlc3RyaWN0aW9ucy1tYXNrcy8_b3V0cHV0VHlwZT1hbXA?oc=5,
